Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0043-0000950-04-0465,C2015A.21.05 YEL,C2015A.21.05 YEL,Hook-up Wire,UL1007/1569 24AWG 7/32,General Cable,All World Connect,,,
0043-0000955-09-0465,C2015A.21.02 WHT,C2015A.21.02 WHT,Hook-up Wire,UL1007/1569 24AWG 7/32,General Cable,All World Connect,,,
0043-0000956-10-0465,C2015A.12.01 BLK,C2015A.12.01 BLK,Hook-up Wire,UL1007/1569 24AWG 7/32,General Cable,All World Connect,,,
0043-0001690-10-0465,28016-1 BLK,28016-1 BLK,Hook-up Wire,"WIRE,PVC/NYLFN,16AWG,26STR,600",General Cable,All World Connect,,,
0056-0000029-00-0465,81625,81625,Multicore Cable,"CBL 5C 6AWG TYPE W,2 KV",General Cable,All World Connect,,,
0056-0000160-00-0465,"09007.99.01, 7C X 10AWG","09007.99.01, 7C X 10AWG",Multicore Cable,CABLE 7C #10 SOOW BLK SHORT,General Cable,All World Connect,,,
0056-0000421-00-0465,C2461A.41.10 GRY JACKET,C2461A.41.10 GRY JACKET,Multicore Cable,"CABLE,2 COND 24AWG,UNSHLD",General Cable,All World Connect,,,
0056-0000422-00-0465,C2463A.18.10 AVL General cable,C2463A.18.10 AVL General cable,Multicore Cable,4C/24AWG CABLE,General Cable,All World Connect,,,
0056-0000424-00-0465,C2466A GREY AVL GENERAL CBL,C2466A GREY AVL GENERAL CBL,Multicore Cable,UL2464 6C #24 7/32 UNSHLD,General Cable,All World Connect,,,
0056-0000428-00-0465,C4064A.12.10 GRY JACKET,C4064A.12.10 GRY JACKET,Multicore Cable,"CABLE,5 COND,22AWG,UNSHLD",General Cable,All World Connect,,,
0056-0000429-00-0465,C4066A.38.10 GRY General cbl,C4066A.38.10 GRY General cbl,Multicore Cable,"CBE,6 COND,22AWG,UNSHLD",General Cable,All World Connect,,,
0056-0000672-00-0465,C6348A,C6348A,Multicore Cable,"CABLE,2 COND 22AWG,UNSHLD",General Cable,All World Connect,,,
0056-0000680-00-0204,C2405A GRY,C2405A GRY,Multicore Cable,UL2464 2C*#16 19/0.1107 UNSHLD,General Cable,All World Connect,,,
0056-0000798-00-0465,"09005, 5C X 10AWG","09005, 5C X 10AWG",Multicore Cable,CABLE 5C #10 SOOW,General Cable,All World Connect,,,
0057-0000520-00-0465,C0747A GRY,C0747A GRY,Multicore Shield Cable,UL2464 20C*#24 7/32 F/SHLD,General Cable,All World Connect,,,
0057-0000524-00-0465,C1302 BLK,C1302 BLK,Multicore Shield Cable,CBL 2C*#20 BRAID SHLD RUB,General Cable,All World Connect,,,
0057-0000539-00-0465,C2534A GRY,C2534A GRY,Multicore Shield Cable,UL2092 2C*#18 16/30 F/SHLD,General Cable,All World Connect,,,
0057-0000540-00-0465,C2543A GRY,C2543A GRY,Multicore Shield Cable,UL2464 4C*#18 19/30 F/SHLD,General Cable,All World Connect,,,
0057-0000541-00-0465,C9134A GRY,C9134A GRY,Multicore Shield Cable,CBL 10C*#18 16/30 F/SHLD DRAIN,General Cable,All World Connect,,,
0057-0000768-00-0465,E2044S.41.10,E2044S.41.10,Multicore Shield Cable,"4COND,16AWG,SHLD,PVC,300V,75C",General Cable,All World Connect,,,
0067-0000019-00-0465,"03328.63.04 ORG, 3C 14AWG","03328.63.04 ORG, 3C 14AWG",Power Cord Assembly,"CORD PWR 15A 5-15P,25FT",General Cable,All World Connect,,,
0068-0000001-00-0465,1369,1369,Power Cord cable,POWER CORD 3C 12AWG,General Cable,All World Connect,,,
0016-0000274-00-0469,GW52003,GW52003,Conduit  Fitting / Accessories,GLAND PG11 GEWISS,Gewiss,All World Connect,,,
0024-0001064-00-1632,KPU-02SG,KPU-02SG,Customize Cable with connector,"CABLE FOR FLEXOFLOW XF-015,L2M",GHM Messtechnik,All World Connect,,,
0024-0001065-00-1632,KPU-05SG / K04PU-05SG,KPU-05SG / K04PU-05SG,Customize Cable with connector,"CABLE FOR FLEXOFLOW XF-015,L5M",GHM Messtechnik,All World Connect,,,
0016-0000289-00-0375,L-2540 / GW-2540-L,L-2540 / GW-2540-L,Conduit  Fitting / Accessories,TRUNKING W25*H40MM GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0016-0000290-00-0375,L-2580 / GW-2580-L,L-2580 / GW-2580-L,Conduit  Fitting / Accessories,TRUNKING W25*H80MM GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0016-0000292-00-0375,L-4040 / GW-4040-L,L-4040 / GW-4040-L,Conduit  Fitting / Accessories,TRUNKING W40*H40MM GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0016-0000293-00-0470,L-4080 / GW-4080-L,L-4080 / GW-4080-L,Conduit  Fitting / Accessories,TRUNKING W40*H80MM*2M GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0016-0000294-00-0375,L-4565 / GW-4565-L,L-4565 / GW-4565-L,Conduit  Fitting / Accessories,TRUNKING W45*H65MM GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0016-0000295-00-0470,L-6060 / GW-6060-L,L-6060 / GW-6060-L,Conduit  Fitting / Accessories,TRUNKING W60*H60MM GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0016-0000364-00-0375,L-2550 / GW-2550-L,L-2550 / GW-2550-L,Conduit  Fitting / Accessories,TRUNKING W25*H50MM GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0017-0000097-00-0470,L-4080 / GW-4080-L,L-4080 / GW-4080-L,Conduit /Expandable sleeve/Spi,TRUNKING W40*H80MM*2M GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0017-0000098-00-0470,L-6080 / GW-6080-L,L-6080 / GW-6080-L,Conduit /Expandable sleeve/Spi,TRUNKING W60*H80MM*2M GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0017-0000099-00-0470,L-8080 / GW-8080-L,L-8080 / GW-8080-L,Conduit /Expandable sleeve/Spi,TRUNKING W80*H80MM*2M GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0018-0001784-00-0375,L-3365 / GW-3365-L,L-3365 / GW-3365-L,Connector=CPC/D-Sub/IDC/BNC,TRUNKING W33*H65MM GRY,GIANTLOK / Hua Wei Ind,All World Connect,,,
0050-0000032-00-0471,L1040,L1040,Lamp / LED / LENS,LAMP HEMISPHERIC 5V/1.4A,Gilway Technical Lamp,All World Connect,,,
0018-0002055-00-0472,SMA7115-206-007F-1,SMA7115-206-007F-1,Connector=CPC/D-Sub/IDC/BNC,GLENTEK S/N 16205281,Glentek,All World Connect,,,
0076-0000082-00-0472,"690A007,AM-8239-A1032-1B","690A007,AM-8239-A1032-1B",Screw / Standoff Screw,STANDOFF 10-32X3,Glentek,All World Connect,,,
0020-0001082-01-0714,20001391 VER B,20001391 VER B,Contact Terminal,PROBE PIN,Globaltronic Bio-Tech Precisio,All World Connect,,,
0093-0000050-00-0473,21006 (W/ WASHER& NUT),21006 (W/ WASHER& NUT),Thumbs crew / Jackscrew,"SCREW LOCK ASSY KIT,1/2",Globe Electronic Hardware,All World Connect,,,
0029-0000058-00-0474,A31-B10A-15W3-000,A31-B10A-15W3-000,Fan / Fan Guard / Fan Cable,"FAN,115 VAC,80X25MM,17-20",Globe Motor,All World Connect,,,
0029-0000182-00-0474,D31-B10A-05W2-100,D31-B10A-05W2-100,Fan / Fan Guard / Fan Cable,"FAN,24VDC,28CFM,2400 RPM,80X25",Globe Motor,All World Connect,,,
0018-0001966-00-0477,PS-1213APL-05,PS-1213APL-05,Connector=CPC/D-Sub/IDC/BNC,ADAPTOR 12V W/US CORD,Golden Pacific Elect,All World Connect,,,
0070-0000044-00-0477,PS-5032A-PL06,PS-5032A-PL06,Power Supply / Adapter,"PWR SPLY,230/120VAC C14 I",Golden Pacific Elect,All World Connect,,,
0077-0000081-00-0478,EA18C-06A573,EA18C-06A573,Sensor / Reader / Amplifer,"SENSOR,EDDY CURRENT PLAST",Gordon,All World Connect,,,
0056-0000511-00-0479,RCN8458,RCN8458,Multicore Cable,CBL 11PR #26 CAMERA LINK,Gore,All World Connect,,,
0024-0000589-00-0480,5XGA2,5XGA2,Customize Cable with connector,"CABLE,USB,MALE/FEMA,1' 6""",Grainger,All World Connect,,,
0029-0000046-00-0480,4YD79/ HP50-24,4YD79/ HP50-24,Fan / Fan Guard / Fan Cable,"CORDSET,AXIAL FAN,24IN",Grainger,All World Connect,,,
0088-0000012-00-0482,08YY231096,08YY231096,Switches,"SW KEY OPERATE,GRAYHI",Grayhill,All World Connect,,,
0088-0000049-00-0482,56D36-01-1-AJN,56D36-01-1-AJN,Switches,"SW ROTARY,1P,10 POS",Grayhill,All World Connect,,,
0032-0000020-00-1615,872/8 BLK,872/8 BLK,Ferrule,FERRULE 2*1.5MM2 8MM,Greenlee,All World Connect,,,
0086-0000061-00-0485,H140,H140,Strain Relief,"CONN,STRAIN,RELIEF",H E A T,All World Connect,,,
0007-0000259-00-0486,1485-10,1485-10,Cable Lug,"LUG SOLDER,#10 SCREW FLAT",H H Smith,All World Connect,,,
0018-0000406-00-0486,1749-102,1749-102,Connector=CPC/D-Sub/IDC/BNC,"BANANA PLUG RED,SOLDER,DU",H H Smith,All World Connect,,,
0049-0000008-00-0486,196-102,196-102,Jack / AV Jack,"BANANA JACK RED,L=.89"",DU",H H Smith,All World Connect,,,
0049-0000009-00-0486,196-103,196-103,Jack / AV Jack,"BANANA JACK,BLK,.104""ID",H H Smith,All World Connect,,,
0018-0001825-00-0487,MCP32-36K3201,MCP32-36K3201,Connector=CPC/D-Sub/IDC/BNC,"MDR CONN,36P,W/HOOD,CONTA",H&M Shenzhen Himatch,All World Connect,,,
0043-0001445-05-0488,WZT 3003 GREEN,WZT 3003 GREEN,Hook-up Wire,WIRE HOOK-UP TEFZEL GRN,HABIA CABLE,All World Connect,,,
0072-0000069-00-0490,H96XB19B4,H96XB19B4,Relay / Contactor,HAKKO TEMP CONTROL DIAL,Hakko Product Pte Ltd,All World Connect,,,
0007-0000260-00-0491,10020249 / SS304 NEW VER,10020249 / SS304 NEW VER,Cable Lug,"RING LUG,#4,SS,CUSTOM,TBT",Hallmark,All World Connect,,,
0086-0000062-00-0492,116H-B-1/4X1/4/ 430-17145-00,116H-B-1/4X1/4/ 430-17145-00,Strain Relief,FITTING ELBOW 90 STREET 1,Ham-Let,All World Connect,,,
0024-0000755-00-1506,A4372-03 (AVI CONSIGN),A4372-03 (AVI CONSIGN),Customize Cable with connector,"CBL,PWR,DETECTOR,INFRARED",Hamamatsu,All World Connect,,,
0077-0000208-00-1506,H11902-20,H11902-20,Sensor / Reader / Amplifer,PHOTO SENSOR PMT MODULE,Hamamatsu,All World Connect,,,
0018-0002165-00-1419,CMP-T1,CMP-T1,Connector=CPC/D-Sub/IDC/BNC,"CONN,PLUG,TC MINIATURE,BN",Hamitherm BV,All World Connect,,,
0077-0000021-00-0493,59025-040,59025-040,Sensor / Reader / Amplifer,"SENSOR,PROXIMITY",Hamlin,All World Connect,,,
0077-0000022-00-0493,59145-010,59145-010,Sensor / Reader / Amplifer,SENSOR PROXIMITY SPST N/O,Hamlin,All World Connect,,,
0077-0000023-00-0493,59145-030 Hamlin,59145-030 Hamlin,Sensor / Reader / Amplifer,SENSOR PROXIMITY SPDT C/O,Hamlin,All World Connect,,,
0077-0000024-00-0493,59145-1-T-04-F,59145-1-T-04-F,Sensor / Reader / Amplifer,"SENSOR,SWITCH,MAG REED",Hamlin,All World Connect,,,
0077-0000197-00-0493,59135-4-S-02-A,59135-4-S-02-A,Sensor / Reader / Amplifer,"SNSR,POSITION,HIGH TEMP,FLG MT",Hamlin,All World Connect,,,
0012-0000446-00-1672,MS3057-10A,MS3057-10A,"Covers, Clamp/Backshell/MTA",CPC CLAMP S18 D14.3,Hangzhou Kaipu Electronic,All World Connect,,,
0018-0002555-00-1672,MS3102A28-11S,MS3102A28-11S,Connector=CPC/D-Sub/IDC/BNC,CPC RCPT S28 22P 4#12+18#16 S,Hangzhou Kaipu Electronic,All World Connect,,,
0018-0002558-00-1672,MS3106A28-11P,MS3106A28-11P,Connector=CPC/D-Sub/IDC/BNC,CPC PLUG S28 22P 4#12+18#16 P,Hangzhou Kaipu Electronic,All World Connect,,,
0018-0002559-00-1672,MS25042-18,MS25042-18,Connector=CPC/D-Sub/IDC/BNC,CPC CAP & CHAIN S18 FOR PLUG,Hangzhou Kaipu Electronic,All World Connect,,,
0018-0002560-00-1672,MS25043-28,MS25043-28,Connector=CPC/D-Sub/IDC/BNC,CPC CAP & CHAIN S28 FOR RCPT,Hangzhou Kaipu Electronic,All World Connect,,,
0018-0002598-00-1672,MS25043-20,MS25043-20,Connector=CPC/D-Sub/IDC/BNC,CPC CAP & CHAIN S20 FOR RCPT,Hangzhou Kaipu Electronic,All World Connect,,,
0104-0000007-00-1672,5015-28 / DMSE-28FG(R1),5015-28 / DMSE-28FG(R1),Gasket (UOM in PCS),GASKET FRONT S28 L15A405,Hangzhou Kaipu Electronic,All World Connect,,,
0104-0000008-00-1672,5015-20 / DMSE-20FG(R1),5015-20 / DMSE-20FG(R1),Gasket (UOM in PCS),GASKET FRONT S20 L15A415,Hangzhou Kaipu Electronic,All World Connect,,,
0005-0000079-00-1474,"NBR O-Ring, ID: 8mm, CS: 0.5mm","NBR O-Ring, ID: 8mm, CS: 0.5mm",Bushing/ Grommet/Collets/Boot,"NBR O-RING, ID: 8MM, CS: 0.5MM","Hangzhou Yucheng Rubber CO., L",All World Connect,,,
0005-0000080-00-1475,A1787 / 2335,A1787 / 2335,Bushing/ Grommet/Collets/Boot,GROMMET RUBBER 7/16ID 9/16HOLE,"Hangzhou Yucheng Rubber CO., L",All World Connect,,,
0055-0000243-00-1567,17HS8401,17HS8401,Motor/Motor Encoder/Motor Gear,STEPPER MOTOR 1.8 DEG 1.8A,Hanpose,All World Connect,,,
0043-0000871-01-0498,UL1007 AWG24OS1 BRN LF,UL1007 AWG24OS1 BRN LF,Hook-up Wire,APPLIANCE HOOK UP WIRE LF,Hanshin,All World Connect,,,
0027-0000027-00-0500,V140LA10AP (1154659),V140LA10AP (1154659),Diode,DIODE,Harris,All World Connect,,,
0045-0000008-00-0500,HIN202-CB,HIN202-CB,IC / IC  Regulator / IC Hall,IC,Harris,All World Connect,,,
0098-0000004-00-0500,V320LA40B,V320LA40B,Varistor,VARISTOR-V320LA40B 320V,Harris,All World Connect,,,
0012-0000174-00-0501,09 30 016 5425,09 30 016 5425,Generic,"CONN CAP COVER,METAL,GRY",Harting,All World Connect,,,
0012-0000168-00-0501,09 00 000 5106,09 00 000 5106,"Covers, Clamp/Backshell/MTA",GLAND PG29 METAL SKV 29,Harting,All World Connect,,,
0012-0000169-00-0501,09 20 003 0320,09 20 003 0320,"Covers, Clamp/Backshell/MTA",HSG BULKHEAD MOUNT 3A PLASTIC,Harting,All World Connect,,,
0012-0000170-00-0501,09 20 003 0620,09 20 003 0620,"Covers, Clamp/Backshell/MTA",HOOK PG11 ANGLE 3A PLASTIC,Harting,All World Connect,,,
0012-0000171-00-0501,09 20 003 5445,09 20 003 5445,"Covers, Clamp/Backshell/MTA",COVER PROTECTION 3A PLASTIC,Harting,All World Connect,,,
0012-0000172-00-0501,09 30 010 0302,09 30 010 0302,"Covers, Clamp/Backshell/MTA",HSG BULKHD W/COVER 10B PLASTIC,Harting,All World Connect,,,
0012-0000173-00-0501,09 30 010 5425,09 30 010 5425,"Covers, Clamp/Backshell/MTA",COVER PROTECTION 10B METAL,Harting,All World Connect,,,
0012-0000176-00-0501,19 20 003 0420,19 20 003 0420,"Covers, Clamp/Backshell/MTA",3P+E HOOD PLASTIC STRAIGH,Harting,All World Connect,,,
0012-0000177-00-0501,19 20 003 0620,19 20 003 0620,"Covers, Clamp/Backshell/MTA",3POLE HOOD PLASTIC,Harting,All World Connect,,,
0012-0000178-00-0501,19 30 010 0465,19 30 010 0465,"Covers, Clamp/Backshell/MTA",HOUSING 10 WAYS HARTING,Harting,All World Connect,,,
0012-0000179-00-0501,60 03 068 0255,60 03 068 0255,"Covers, Clamp/Backshell/MTA",COVER METAL SCSI CONNECTO,Harting,All World Connect,,,
0012-0000323-00-0501,09 20 003 0301,09 20 003 0301,"Covers, Clamp/Backshell/MTA",CONN BULKHEAD MTG HAN Q5/0,Harting,All World Connect,,,
0012-0000359-00-0501,19 30 016 0427,19 30 016 0427,"Covers, Clamp/Backshell/MTA",HAN B HOOD TOP ENTRY HC M32,Harting,All World Connect,,,
0012-0000360-00-0501,19 14 001 0402,19 14 001 0402,"Covers, Clamp/Backshell/MTA",HAN-MODULAR COMP TOP ENTRY M32,Harting,All World Connect,,,
0012-0000361-00-0501,19 14 001 0401,19 14 001 0401,"Covers, Clamp/Backshell/MTA",HAN-MODULAR COMP TOP ENTRY M25,Harting,All World Connect,,,
0012-0000362-00-0501,09 30 006 0443,09 30 006 0443,"Covers, Clamp/Backshell/MTA",HAN B HOOD TOP ENTRY HC 2 PG29,Harting,All World Connect,,,
0012-0000363-00-0501,09 30 006 0543,09 30 006 0543,"Covers, Clamp/Backshell/MTA",HAN B HOOD SIDE ENTRY HC2 PG29,Harting,All World Connect,,,
0012-0000364-00-0501,19 62 003 1640,19 62 003 1640,"Covers, Clamp/Backshell/MTA",HAN 3 EMC HOOD ANGLE ENTRY M20,Harting,All World Connect,,,
0012-0000365-00-0501,09 20 010 1541,09 20 010 1541,"Covers, Clamp/Backshell/MTA",CONNHOOD 15P PG-16 SIDE-ENTRY,Harting,All World Connect,,,
0012-0000366-00-0501,09 12 008 0527,09 12 008 0527,"Covers, Clamp/Backshell/MTA",HAN Q 8/0-GS-16,Harting,All World Connect,,,
0012-0000380-00-0501,09 30 006 0302,09 30 006 0302,"Covers, Clamp/Backshell/MTA",BASE PANEL 6B HAN B,Harting,All World Connect,,,
0012-0000381-00-0501,09 14 006 0371,09 14 006 0371,"Covers, Clamp/Backshell/MTA",HINGED FRAME PLUS 6B,Harting,All World Connect,,,
0012-0000387-00-0501,19 30 016 1531,19 30 016 1531,"Covers, Clamp/Backshell/MTA",HAN 16B HOOD SIDE ENTRY M25,Harting,All World Connect,,,
0012-0000388-00-0501,19 30 024 0528,19 30 024 0528,"Covers, Clamp/Backshell/MTA",HAN B HOOD SIDE ENTRY HC M40,Harting,All World Connect,,,
0012-0000405-00-0501,09 14 001 0301,09 14 001 0301,"Covers, Clamp/Backshell/MTA","HAN MODULAR COMPACT,BULKHEAD M",Harting,All World Connect,,,
0012-0000406-00-0501,09 14 000 9950,09 14 000 9950,"Covers, Clamp/Backshell/MTA","HAN® DUMMY MODULE,PC,GRY",Harting,All World Connect,,,
0012-0000407-00-0501,09 30 024 0301,09 30 024 0301,"Covers, Clamp/Backshell/MTA",HAN B BASE PANEL 2 LEVERS,Harting,All World Connect,,,
0012-0000408-00-0501,09 12 708 0301,09 12 708 0301,"Covers, Clamp/Backshell/MTA",HAN Q 8/0-AGG METALL ROHS KONF,Harting,All World Connect,,,
0012-0000409-00-0501,61 03 001 2015,61 03 001 2015,"Covers, Clamp/Backshell/MTA",25 POSITION TWO PIECE BACKSHEL,Harting,All World Connect,,,
0012-0000410-00-0501,09 30 010 0305,09 30 010 0305,"Covers, Clamp/Backshell/MTA",HAN B BASE PANEL 1 LEVER,Harting,All World Connect,,,
0012-0000411-00-0501,19 62 025 0546,19 62 025 0546,"Covers, Clamp/Backshell/MTA",HAN EMC 25 HOOD SIDE ENTRY M25,Harting,All World Connect,,,
0012-0000412-00-0501,19 20 003 1440,19 20 003 1440,"Covers, Clamp/Backshell/MTA","HAN 3A-HTE-M20, TOP ENTRY",Harting,All World Connect,,,
0012-0000413-00-0501,19 20 003 1640,19 20 003 1640,"Covers, Clamp/Backshell/MTA","HAN 3A-HA-M20,HOOD ANGLED",Harting,All World Connect,,,
0012-0000418-00-0501,09 14 006 0361,09 14 006 0361,"Covers, Clamp/Backshell/MTA",HINGED FRAME PLUS 2 MODUL A-B,Harting,All World Connect,,,
0012-0000419-00-0501,19 30 006 1540,19 30 006 1540,"Covers, Clamp/Backshell/MTA",HOOD HAN 6B-HSE-M20,Harting,All World Connect,,,
0012-0000428-00-0501,19 30 016 1542,19 30 016 1542,"Covers, Clamp/Backshell/MTA",HOOD HAN 16B-HSE-R-M32,Harting,All World Connect,,,
0012-0000429-00-0501,19 30 016 1122,19 30 016 1122,"Covers, Clamp/Backshell/MTA",HOOD HAN 16B HTE M40 PFT DL,Harting,All World Connect,,,
0012-0000430-00-0501,09 14 016 0371,09 14 016 0371,"Covers, Clamp/Backshell/MTA","HINGED FRAME PLUS, 4 MODUL_A-D",Harting,All World Connect,,,
0012-0000431-00-0501,19 30 016 0466,19 30 016 0466,"Covers, Clamp/Backshell/MTA",HOOD HAN 16B HTE M40 PFT DL,Harting,All World Connect,,,
0012-0000434-00-0501,19 30 006 0547,19 30 006 0547,"Covers, Clamp/Backshell/MTA","HAN B HOOD SIDE ENT HC2PEG,M32",Harting,All World Connect,,,
0012-0000436-00-0501,19 39 610 1417,19 39 610 1417,"Covers, Clamp/Backshell/MTA",HAN 10HP DIRECT/B-HTE-M25,Harting,All World Connect,,,
0012-0000437-00-0501,09 30 006 0301,09 30 006 0301,"Covers, Clamp/Backshell/MTA",CONN BASE BOTTOM ENTRY SZ6B,Harting,All World Connect,,,
0012-0000438-00-0501,09 45 502 0000,09 45 502 0000,"Covers, Clamp/Backshell/MTA",HAR-PORT PROTECTION COVER IP65,Harting,All World Connect,,,
0012-0000441-00-0501,19 12 008 0429,19 12 008 0429,"Covers, Clamp/Backshell/MTA","HOOD,HAN Q 8/0-GG-M25",Harting,All World Connect,,,
0012-0000442-00-0501,09 67 025 0333,09 67 025 0333,"Covers, Clamp/Backshell/MTA",DSUB METAL-HOOD 25P SIDE ENTRY,Harting,All World Connect,,,
0012-0000443-00-0501,09 67 015 0443,09 67 015 0443,"Covers, Clamp/Backshell/MTA",DSUB METPL-HOOD 15P STRAIGHT,Harting,All World Connect,,,
0012-0000447-00-0501,09 30 006 0301,09 30 006 0301,"Covers, Clamp/Backshell/MTA",HAN B BASE PANEL 1 METAL LEVER,Harting,All World Connect,,,
0016-0000058-00-0501,09 14 000 6152,09 14 000 6152,Conduit  Fitting / Accessories,SEAL MALE 3MM  HAN-MODULAR,Harting,All World Connect,,,
0016-0000068-00-0501,19 00 000 5099,19 00 000 5099,Conduit  Fitting / Accessories,GLAND M40*1.5 20-32,Harting,All World Connect,,,
0016-0000069-00-0501,19 30 024 0537,19 30 024 0537,Conduit  Fitting / Accessories,HAN B HOOD 24W SIDE ENTRY,Harting,All World Connect,,,
0016-0000360-00-0501,19 00 000 5091,19 00 000 5091,Conduit  Fitting / Accessories,GLAND M25*1.5 ID13~18MM,Harting,All World Connect,,,
0016-0000453-00-0501,09 00 000 5050,09 00 000 5050,Conduit  Fitting / Accessories,"ENLARGE PG11~PG13.5,METAL",Harting,All World Connect,,,
0016-0000454-00-0501,09 00 000 5085,09 00 000 5085,Conduit  Fitting / Accessories,"CABLE GLAND PG13.5,METAL",Harting,All World Connect,,,
0016-0000467-00-0501,09 00 000 5097,09 00 000 5097,Conduit  Fitting / Accessories,"GLAND PG29, 24-28MM,METAL,YEL",Harting,All World Connect,,,
0016-0000471-00-0501,19 00 000 5192,19 00 000 5192,Conduit  Fitting / Accessories,HAN CGM-P M25X1.5 D13-18MM GRY,Harting,All World Connect,,,
0016-0000478-00-0501,19 00 000 5185,19 00 000 5185,Conduit  Fitting / Accessories,"HAN CGM-P M20X1,5 D.10-14MM BK",Harting,All World Connect,,,
0016-0000480-00-0501,19 00 000 5180,19 00 000 5180,Conduit  Fitting / Accessories,"HAN CGM-P M20X1,5 D.5-9MM GREY",Harting,All World Connect,,,
0018-0000026-00-0501,09 67 009 0453,09 67 009 0453,Connector=CPC/D-Sub/IDC/BNC,DSUB METAL-HOOD 09P,Harting,All World Connect,,,
0018-0000027-00-0501,09 67 015 0453,09 67 015 0453,Connector=CPC/D-Sub/IDC/BNC,DSUB METAL-HOOD 15P,Harting,All World Connect,,,
0018-0000028-00-0501,09 67 025 0453,09 67 025 0453,Connector=CPC/D-Sub/IDC/BNC,DSUB METAL-HOOD 25P,Harting,All World Connect,,,
0018-0000029-00-0501,09 67 037 0453,09 67 037 0453,Connector=CPC/D-Sub/IDC/BNC,DSUB METAL-HOOD 37P,Harting,All World Connect,,,
0018-0000106-00-0501,09 03 196 6921,09 03 196 6921,Connector=CPC/D-Sub/IDC/BNC,CONN MALE 3*32P DIP PCB DIN,Harting,All World Connect,,,
0018-0000107-00-0501,09 03 232 7825,09 03 232 7825,Connector=CPC/D-Sub/IDC/BNC,CONN FEMALE 2*16P DIP PCB DIN,Harting,All World Connect,,,
0018-0000108-00-0501,09 03 264 6825,09 03 264 6825,Connector=CPC/D-Sub/IDC/BNC,CONN FEMALE 3*32P DIP PCB DIN,Harting,All World Connect,,,
0018-0000109-00-0501,09 03 296 6825,09 03 296 6825,Connector=CPC/D-Sub/IDC/BNC,"CONN,FEMALE,3X32POS,SOLDE",Harting,All World Connect,,,
0018-0000110-00-0501,09 03 348 6942,09 03 348 6942,Connector=CPC/D-Sub/IDC/BNC,CONN EURO RA 96POS PLUG Y,Harting,All World Connect,,,
0018-0000111-00-0501,09 03 364 6921,09 03 364 6921,Connector=CPC/D-Sub/IDC/BNC,"CONN,MALE,2X32POS,SOLDER",Harting,All World Connect,,,
0018-0000112-00-0501,09 03 368 6921,09 03 368 6921,Connector=CPC/D-Sub/IDC/BNC,CONN EURO RA 96POS 68PLUG,Harting,All World Connect,,,
0018-0000113-00-0501,09 03 396 6921,09 03 396 6921,Connector=CPC/D-Sub/IDC/BNC,"CONN,MALE,3X32POS,SOLDE",Harting,All World Connect,,,
0018-0000114-00-0501,09 04 132 6921,09 04 132 6921,Connector=CPC/D-Sub/IDC/BNC,"CONN,MALE,2X16POS,SOLDER",Harting,All World Connect,,,
0018-0000115-00-0501,09 14 000 9912,09 14 000 9912,Connector=CPC/D-Sub/IDC/BNC,"HAN-MODULAR,PE CBL 16MM2",Harting,All World Connect,,,
0018-0000116-00-0501,09 14 001 0311,09 14 001 0311,Connector=CPC/D-Sub/IDC/BNC,CONN CARRIER HOOD,Harting,All World Connect,,,
0018-0000117-00-0501,09 14 001 3101,09 14 001 3101,Connector=CPC/D-Sub/IDC/BNC,"HAN-MODULAR,200A,FEMALE,C",Harting,All World Connect,,,
0018-0000118-00-0501,09 14 003 3101,09 14 003 3101,Connector=CPC/D-Sub/IDC/BNC,3 WAYS FEMALE CONNECTOR,Harting,All World Connect,,,
0018-0000119-00-0501,09 14 003 4501,09 14 003 4501,Connector=CPC/D-Sub/IDC/BNC,PNEUMATICS-3ER MODULE,Harting,All World Connect,,,
0018-0000120-00-0501,09 14 004 3041,09 14 004 3041,Connector=CPC/D-Sub/IDC/BNC,"HAN CC MODULER,4POS,MALE CRIMP",Harting,All World Connect,,,
0018-0000121-00-0501,09 14 006 3101,09 14 006 3101,Connector=CPC/D-Sub/IDC/BNC,"HAAN E MODULE,FEMALE CRIMP",Harting,All World Connect,,,
0018-0000122-00-0501,09 14 006 3001,09 14 006 3001,Connector=CPC/D-Sub/IDC/BNC,MODULE E MALE 6POS CRIMP,Harting,All World Connect,,,
0018-0000123-00-0501,09 14 010 0311,09 14 010 0311,Connector=CPC/D-Sub/IDC/BNC,"JOINT F,3 MODULES",Harting,All World Connect,,,
0018-0000124-00-0501,09 14 012 3001,09 14 012 3001,Connector=CPC/D-Sub/IDC/BNC,DD MODULE PIN EMPLOYMENT,Harting,All World Connect,,,
0018-0000125-00-0501,09 14 024 0313,09 14 024 0313,Connector=CPC/D-Sub/IDC/BNC,HINGED FRAME 24B FOR 6 MO,Harting,All World Connect,,,
