Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0034-0000033-00-0002,3319/14,3319/14,Flat Cable,UL2651 14C 28AWG 19/40,3m,All World Connect,,,
0034-0000034-00-0002,3319/16,3319/16,Flat Cable,UL2651 16C 28AWG 19/40,3m,All World Connect,,,
0034-0000035-00-0002,3319/20,3319/20,Flat Cable,UL2651 20C 28AWG 19/40,3m,All World Connect,,,
0034-0000036-00-0002,3319/26,3319/26,Flat Cable,UL2651 26C 28AWG 19/40,3m,All World Connect,,,
0034-0000037-00-0002,3319/34,3319/34,Flat Cable,UL2651 34C 28AWG 19/40,3m,All World Connect,,,
0034-0000038-00-0002,3319/40,3319/40,Flat Cable,UL2651 40C 28AWG 19/40,3m,All World Connect,,,
0034-0000039-00-0002,3319/50,3319/50,Flat Cable,UL2651 50C 28AWG 19/40,3m,All World Connect,,,
0093-0000012-00-0002,3341-1L,3341-1L,Thumbs crew / Jackscrew,"SCREW,JACK,SOCKET KIT",3m,All World Connect,,,
0093-0000013-00-0002,3341-1S,3341-1S,Thumbs crew / Jackscrew,"SCREW,JACK,SOCKET KIT",3m,All World Connect,,,
0093-0000014-00-0002,3341-31,3341-31,Thumbs crew / Jackscrew,"SCREW,.050IN I/O MOUNTING",3m,All World Connect,,,
0093-0000015-00-0002,3342-1,3342-1,Thumbs crew / Jackscrew,"JACKSCREW KIT,#4-40,L=5.6",3m,All World Connect,,,
0093-0000016-00-0002,3342-2,3342-2,Thumbs crew / Jackscrew,"JACKSCREW KIT,#4-40,L=15.",3m,All World Connect,,,
0093-0000017-00-0002,3342-20,3342-20,Thumbs crew / Jackscrew,JACK SCREW,3m,All World Connect,,,
0034-0000040-00-0002,3356/16,3356/16,Flat Cable,16 WAY FLAT CABLE (P1.27),3m,All World Connect,,,
0018-0000681-00-0002,3357-4115,3357-4115,Connector=CPC/D-Sub/IDC/BNC,D-SUB SHELL PLUG 15POS,3m,All World Connect,,,
0018-0000682-00-0002,3357-4125,3357-4125,Connector=CPC/D-Sub/IDC/BNC,D-SUB SHELL 25POS PLUG,3m,All World Connect,,,
0018-0000683-00-0002,3357-5125,3357-5125,Connector=CPC/D-Sub/IDC/BNC,D-SUB SHELL 25POS SKT,3m,All World Connect,,,
0018-0000684-00-0002,3357-6509-1C,3357-6509-1C,Connector=CPC/D-Sub/IDC/BNC,"CONN,HOOD,D-SUB,45DG,9POS",3m,All World Connect,,,
0018-0000685-00-0002,3357-6515-1C,3357-6515-1C,Connector=CPC/D-Sub/IDC/BNC,"CONN,HOOD,D-SUB,45D,15POS",3m,All World Connect,,,
0018-0000686-00-0002,3357-6525-1C,3357-6525-1C,Connector=CPC/D-Sub/IDC/BNC,"CONN,HOOD,D-SUB,45D,25POS",3m,All World Connect,,,
0018-0000687-00-0002,3357-9209,3357-9209,Connector=CPC/D-Sub/IDC/BNC,D-SUB METAL JUNCT SHLL,3m,All World Connect,,,
0018-0000688-00-0002,3357-9225,3357-9225,Connector=CPC/D-Sub/IDC/BNC,D-SUB METAL JUNCT SHLL,3m,All World Connect,,,
0018-0002493-00-0002,3357-9237,3357-9237,Connector=CPC/D-Sub/IDC/BNC,D-SUB METAL SHELL 37 POS,3m,All World Connect,,,
0018-0000689-00-0002,3357-9250,3357-9250,Connector=CPC/D-Sub/IDC/BNC,D-SUB METAL SHELL 50P,3m,All World Connect,,,
0034-0000042-00-0002,3365/06,3365/06,Flat Cable,UL2651 28AWG 7/36 6C,3m,All World Connect,,,
0034-0000043-00-0002,3365/08,3365/08,Flat Cable,UL2651 28AWG 7/36 8C,3m,All World Connect,,,
0034-0000044-00-0002,3365/09,3365/09,Flat Cable,UL2651 28AWG 7/36 9C,3m,All World Connect,,,
0034-0000045-00-0002,3365/10,3365/10,Flat Cable,UL2651 28AWG 7/36 10C,3m,All World Connect,,,
0034-0000046-00-0002,3365/14,3365/14,Flat Cable,UL2651 28AWG 7/36 14C,3m,All World Connect,,,
0034-0000047-00-0002,3365/15,3365/15,Flat Cable,UL2651 28AWG 7/36 15C,3m,All World Connect,,,
0034-0000048-00-0002,3365/16,3365/16,Flat Cable,UL2651 28AWG 7/36 16C,3m,All World Connect,,,
0034-0000049-00-0002,3365/20,3365/20,Flat Cable,UL2651 28AWG 7/36 20C,3m,All World Connect,,,
0034-0000050-00-0002,3365/24,3365/24,Flat Cable,UL2651 28AWG 7/36 24C,3m,All World Connect,,,
0034-0000051-00-0002,3365/25,3365/25,Flat Cable,UL2651 28AWG 7/36 25C,3m,All World Connect,,,
0034-0000052-00-0002,3365/26,3365/26,Flat Cable,UL2651 26C #28 7/36,3m,All World Connect,,,
0034-0000053-00-0002,3365/30,3365/30,Flat Cable,UL2651 28AWG 7/36 30C,3m,All World Connect,,,
0034-0000054-00-0002,3365/34,3365/34,Flat Cable,UL2651 28AWG 7/36 34C,3m,All World Connect,,,
0034-0000055-00-0002,3365/37,3365/37,Flat Cable,UL2651 37C 28AWG 7/36,3m,All World Connect,,,
0034-0000056-00-0002,3365/40,3365/40,Flat Cable,UL2651 28AWG 7/36 40C,3m,All World Connect,,,
0034-0000057-00-0002,3365/50 or R9965/50,3365/50 or R9965/50,Flat Cable,UL2651 50C*28AWG 7/36,3m,All World Connect,,,
0034-0000058-00-0002,3365/64,3365/64,Flat Cable,UL2651 28AWG 7/36 64C,3m,All World Connect,,,
0018-0000690-00-0002,3367-1002,3367-1002,Connector=CPC/D-Sub/IDC/BNC,CONN RIBBON FEMALE,3m,All World Connect,,,
0018-0000692-00-0002,3385-6000,3385-6000,Connector=CPC/D-Sub/IDC/BNC,IDC SKT 14W 2.54MM,3m,All World Connect,,,
